country,type,age of contact,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Great Britain,all,20-24,0.45,0.3,0.22,0.93,2.59,1.49,0.75,0.63,0.77,0.87,0.88,0.61,0.53,0.37,0.33
Great Britain,all,25-29,0.79,0.66,0.44,0.74,1.29,1.83,0.97,0.71,0.74,0.85,0.88,0.87,0.67,0.74,0.33
Great Britain,all,30-34,0.97,1.07,0.62,0.5,0.88,1.19,1.67,0.89,1.02,0.91,0.92,0.61,0.76,0.63,0.27
Great Britain,all,35-39,1.02,0.98,1.26,1.09,0.76,0.95,1.53,1.5,1.32,1.09,0.83,0.69,1.02,0.96,0.2
Great Britain,all,40-44,0.55,1.0,1.14,0.94,0.73,0.88,0.82,1.23,1.35,1.27,0.89,0.67,0.94,0.81,0.8
Great Britain,all,45-49,0.29,0.54,0.57,0.77,0.97,0.93,0.57,0.8,1.32,1.87,0.61,0.8,0.61,0.59,0.57
Great Britain,all,50-54,0.33,0.38,0.4,0.41,0.44,0.85,0.6,0.61,0.71,0.95,0.74,1.06,0.59,0.56,0.57
Great Britain,all,55-59,0.31,0.21,0.25,0.33,0.39,0.53,0.68,0.53,0.55,0.51,0.82,1.17,0.85,0.85,0.33
Great Britain,all,60-64,0.26,0.25,0.19,0.24,0.19,0.34,0.4,0.39,0.47,0.55,0.41,0.78,0.65,0.85,0.57
Great Britain,all,65-69,0.09,0.11,0.12,0.2,0.19,0.22,0.13,0.3,0.23,0.13,0.21,0.28,0.36,0.7,0.6
Great Britain,all,70+,0.14,0.15,0.21,0.1,0.24,0.17,0.15,0.41,0.5,0.71,0.53,0.76,0.47,0.74,1.47
Great Britain,physical,00-04,1.49,0.59,0.25,0.18,0.42,0.61,0.57,0.74,0.18,0.2,0.36,0.15,0.18,0.26,0.07
Great Britain,physical,05-09,0.74,3.82,0.53,0.44,0.37,0.42,0.68,0.99,0.66,0.15,0.17,0.19,0.41,0.3,0.07
Great Britain,physical,10-14,0.36,0.73,3.19,0.79,0.17,0.14,0.32,0.51,0.69,0.27,0.2,0.19,0.17,0.26,0.17
Great Britain,physical,15-19,0.26,0.22,0.52,3.1,0.85,0.12,0.17,0.29,0.48,0.51,0.27,0.13,0.09,0.26,0.37
Great Britain,physical,20-24,0.39,0.19,0.09,0.38,1.32,0.49,0.28,0.16,0.23,0.44,0.2,0.28,0.11,0.15,0.0
Great Britain,physical,25-29,0.53,0.37,0.11,0.2,0.58,0.64,0.35,0.21,0.23,0.25,0.3,0.3,0.2,0.04,0.03
Great Britain,physical,30-34,0.77,0.72,0.29,0.17,0.31,0.42,0.8,0.21,0.27,0.38,0.23,0.2,0.23,0.15,0.07
Great Britain,physical,35-39,0.73,0.65,0.61,0.35,0.2,0.24,0.47,0.76,0.47,0.29,0.18,0.11,0.32,0.04,0.03
Great Britain,physical,40-44,0.38,0.59,0.58,0.47,0.27,0.29,0.25,0.49,0.45,0.4,0.12,0.19,0.23,0.15,0.3
Great Britain,physical,45-49,0.22,0.23,0.22,0.34,0.46,0.29,0.17,0.17,0.35,0.58,0.15,0.19,0.14,0.11,0.2
Great Britain,physical,50-54,0.26,0.21,0.14,0.17,0.22,0.17,0.15,0.14,0.19,0.27,0.33,0.35,0.2,0.04,0.07
Great Britain,physical,55-59,0.22,0.12,0.1,0.1,0.14,0.22,0.13,0.21,0.05,0.25,0.17,0.52,0.32,0.44,0.1
Great Britain,physical,60-64,0.22,0.15,0.1,0.1,0.1,0.14,0.15,0.2,0.19,0.13,0.09,0.24,0.27,0.3,0.13
Great Britain,physical,65-69,0.05,0.08,0.07,0.08,0.07,0.12,0.08,0.16,0.11,0.04,0.05,0.07,0.17,0.37,0.43
Great Britain,physical,70+,0.09,0.09,0.1,0.08,0.19,0.1,0.05,0.13,0.24,0.29,0.23,0.22,0.11,0.22,0.7
Italy,all,00-04,4.68,1.04,0.2,0.11,0.58,0.11,0.88,0.88,0.75,1.08,0.17,0.43,0.43,0.25,0.23
Italy,all,05-09,1.64,9.23,1.25,0.24,0.19,0.24,0.86,0.95,1.0,0.92,1.07,1.12,0.28,0.32,0.33
Italy,all,10-14,0.4,1.84,14.56,1.26,0.43,0.34,0.36,0.39,0.92,0.67,3.15,1.31,1.34,0.18,1.43
Italy,all,15-19,0.19,0.23,2.59,17.53,1.09,0.82,0.56,0.7,1.31,2.22,2.52,0.43,0.83,0.14,0.97
Italy,all,20-24,0.24,0.35,0.65,1.6,4.96,3.42,0.88,0.75,1.19,0.67,0.74,0.8,0.64,0.21,0.37
Italy,all,25-29,0.62,0.54,0.46,0.87,3.04,3.45,1.66,1.52,1.14,1.0,1.24,1.18,1.15,0.61,1.1
Italy,all,30-34,0.97,0.77,0.52,0.53,1.4,2.97,2.54,2.32,1.95,1.77,1.02,1.18,1.45,1.14,0.93
