country,type,age of contact,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Italy,all,35-39,1.29,1.35,0.95,0.67,1.17,1.55,2.42,3.09,2.05,1.75,1.5,1.31,1.49,1.18,0.57
Italy,all,40-44,1.28,1.62,1.72,1.24,1.11,1.24,1.6,3.18,3.1,1.83,1.72,1.65,1.3,0.89,0.97
Italy,all,45-49,0.73,0.66,1.4,2.01,1.58,1.08,1.02,1.61,1.97,1.58,1.57,1.41,1.55,1.0,1.0
Italy,all,50-54,0.51,0.56,0.84,1.21,1.42,1.0,1.1,1.16,2.02,1.63,1.63,1.39,1.32,0.89,0.77
Italy,all,55-59,0.64,0.43,0.42,0.54,0.89,0.92,0.8,0.82,0.73,1.07,1.69,1.84,1.53,0.71,1.03
Italy,all,60-64,0.47,0.41,0.18,0.26,0.62,0.53,0.8,0.84,0.98,0.55,0.72,1.31,0.94,1.18,0.73
Italy,all,65-69,0.53,0.45,0.37,0.04,0.21,0.26,0.58,0.7,0.51,0.25,0.26,0.84,1.11,1.21,1.27
Italy,all,70+,0.83,0.83,0.71,0.39,0.6,0.79,0.56,0.88,1.07,0.9,0.96,1.57,1.7,1.39,1.27
Italy,physical,00-04,3.47,0.72,0.16,0.09,0.36,0.08,0.68,0.68,0.61,1.07,0.09,0.29,0.34,0.25,0.2
Italy,physical,05-09,1.35,6.78,0.95,0.16,0.13,0.16,0.48,0.75,0.54,0.8,0.98,0.45,0.13,0.14,0.33
Italy,physical,10-14,0.36,1.09,9.13,0.84,0.25,0.16,0.16,0.27,0.63,0.58,0.78,0.24,0.51,0.14,1.27
Italy,physical,15-19,0.13,0.21,1.59,9.34,0.64,0.42,0.1,0.14,1.05,0.65,0.54,0.24,0.23,0.04,0.77
Italy,physical,20-24,0.17,0.27,0.41,1.0,3.51,2.29,0.34,0.3,0.59,0.22,0.33,0.43,0.36,0.04,0.3
Italy,physical,25-29,0.45,0.3,0.17,0.31,1.75,2.24,0.74,0.36,0.36,0.17,0.52,0.61,0.53,0.32,0.7
Italy,physical,30-34,0.69,0.51,0.25,0.2,0.6,1.82,1.38,0.79,0.71,0.52,0.37,0.37,0.74,0.39,0.6
Italy,physical,35-39,1.01,1.01,0.59,0.23,0.45,0.89,1.14,1.36,0.78,0.6,0.56,0.55,0.94,0.54,0.4
Italy,physical,40-44,0.99,1.11,1.03,0.43,0.64,0.61,0.62,1.3,1.31,0.82,0.54,0.45,0.64,0.39,0.5
Italy,physical,45-49,0.49,0.48,0.67,1.03,0.79,0.42,0.58,0.55,0.66,0.83,0.57,0.45,0.87,0.54,0.37
Italy,physical,50-54,0.37,0.37,0.38,0.6,0.66,0.45,0.38,0.45,0.58,0.75,0.72,0.49,0.74,0.39,0.3
Italy,physical,55-59,0.45,0.34,0.13,0.23,0.49,0.42,0.16,0.36,0.25,0.57,0.61,0.86,0.85,0.25,0.53
Italy,physical,60-64,0.41,0.27,0.11,0.04,0.28,0.34,0.26,0.34,0.37,0.23,0.15,0.51,0.4,0.5,0.53
Italy,physical,65-69,0.46,0.29,0.25,0.01,0.13,0.18,0.14,0.39,0.15,0.07,0.09,0.39,0.72,0.61,0.83
Italy,physical,70+,0.69,0.52,0.56,0.24,0.3,0.45,0.3,0.39,0.59,0.45,0.57,0.59,0.96,0.79,0.8
Luxembourg,all,00-04,2.34,0.88,0.21,0.19,0.11,0.76,1.48,0.72,0.79,0.61,0.27,0.47,0.52,0.24,0.05
Luxembourg,all,05-09,1.05,8.76,1.71,0.25,0.22,1.24,2.24,1.09,1.16,0.28,1.02,0.44,0.35,0.17,0.2
Luxembourg,all,10-14,0.48,1.76,11.65,1.64,0.43,0.96,1.24,0.62,1.53,0.66,0.54,0.16,0.15,0.07,0.18
Luxembourg,all,15-19,0.18,0.52,2.32,11.78,2.89,1.45,0.7,0.36,1.38,1.87,0.46,1.44,0.28,0.1,0.18
Luxembourg,all,20-24,0.35,0.24,0.37,2.13,3.78,1.8,0.85,0.64,0.66,1.34,0.79,0.57,0.52,0.31,0.13
Luxembourg,all,25-29,0.79,0.78,0.36,0.92,2.31,3.08,2.48,1.14,1.44,1.3,1.52,1.25,0.91,0.69,0.33
Luxembourg,all,30-34,1.3,0.94,0.66,0.78,1.48,2.17,3.48,1.72,2.56,1.81,1.65,1.29,1.4,1.03,0.45
Luxembourg,all,35-39,1.45,1.79,1.14,0.94,1.41,1.9,3.11,2.59,2.72,1.75,1.63,1.03,1.28,1.41,0.5
Luxembourg,all,40-44,0.83,1.29,1.6,1.36,1.19,1.41,2.48,2.36,3.54,1.63,1.9,1.09,1.14,1.17,0.65
Luxembourg,all,45-49,0.37,0.57,1.02,1.36,1.67,1.11,1.48,1.84,2.37,2.46,1.97,1.04,0.8,0.69,0.43
Luxembourg,all,50-54,0.33,0.37,0.43,0.69,1.28,1.38,1.24,1.0,1.37,2.03,2.13,1.06,0.94,0.93,0.35
Luxembourg,all,55-59,0.33,0.33,0.31,0.4,0.52,1.06,0.78,0.74,0.62,0.78,1.19,1.09,0.95,1.07,0.38
Luxembourg,all,60-64,0.4,0.24,0.16,0.13,0.24,0.54,0.28,0.62,0.46,0.46,0.67,0.65,1.12,1.07,0.6
Luxembourg,all,65-69,0.23,0.12,0.21,0.1,0.2,0.27,0.41,0.31,0.5,0.36,0.33,0.43,0.8,1.17,0.58
